ID,Word Embedding Size,Batch Size,Recurrent Dropout,Dropout,Optimization,Activation,PIP F1-score,TrAP F1-score,TrCP F1-score,TrIP F1-score,TrNAP F1-score,TrWP F1-score,Overall Precision,Overall Recall,Overal F1-score
1,50,32,0.1,0.1,rmsprop,softmax,0.061,0.616,0.235,0,0,0,0.603,0.295,0.397
2,100,32,0.1,0.1,rmsprop,softmax,0.371,0.679,0.4,0,0,0,0.637,0.452,0.529
3,50,64,0.1,0.1,rmsprop,softmax,0.17,0.615,0,0,0,0,0.53,0.354,0.424
4,100,64,0.1,0.1,rmsprop,softmax,0.364,0.656,0.387,0,0.2,0,0.539,0.503,0.52
5,50,128,0.1,0.1,rmsprop,softmax,0.363,0.59,0,0,0,0,0.422,0.5,0.458
6,100,128,0.1,0.1,rmsprop,softmax,0.165,0.602,0.312,0,0,0,0.412,0.18,0.358
7,50,32,0.2,0.1,rmsprop,softmax,0.244,0.623,0.24,0,0,0,0.597,0.351,0.442
8,100,32,0.2,0.1,rmsprop,softmax,0.425,0.671,0.337,0,0,0,0.536,0.485,0.509
9,50,64,0.2,0.1,rmsprop,softmax,0.249,0.607,0,0,0,0,0.526,0.386,0.445
10,100,64,0.2,0.1,rmsprop,softmax,0.196,0.604,0.321,0,0,0,0.634,0.311,0.417
11,50,128,0.2,0.1,rmsprop,softmax,0.013,0.577,0,0,0,0,0.481,0.313,0.379
12,100,128,0.2,0.1,rmsprop,softmax,0.29,0.519,0.186,0,0,0,0.587,0.28,0.379
13,50,32,0.3,0.1,rmsprop,softmax,0.168,0.647,0.264,0,0,0,0.601,0.354,0.445
14,100,32,0.3,0.1,rmsprop,softmax,0.449,0.659,0.31,0,0.105,0,0.604,0.455,0.519
15,50,64,0.3,0.1,rmsprop,softmax,0.212,0.559,0,0,0,0,0.61,0.273,0.377
16,100,64,0.3,0.1,rmsprop,softmax,0.384,0.644,0.255,0,0,0,0.584,0.422,0.49
17,50,128,0.3,0.1,rmsprop,softmax,0.103,0.494,0,0,0,0,0.548,0.215,0.309
18,100,128,0.3,0.1,rmsprop,softmax,0.175,0.56,0,0,0,0,0.6,0.265,0.368
19,50,32,0.1,0.2,rmsprop,softmax,0.328,0.665,0.316,0,0,0,0.562,0.424,0.483
20,100,32,0.1,0.2,rmsprop,softmax,0.442,0.669,0.393,0,0.1,0,0.617,0.472,0.535
21,50,64,0.1,0.2,rmsprop,softmax,0.127,0.599,0,0,0,0,0.521,0.338,0.41
22,100,64,0.1,0.2,rmsprop,softmax,0.196,0.636,0.346,0,0,0,0.653,0.333,0.441
23,50,128,0.1,0.2,rmsprop,softmax,0.166,0.609,0,0,0,0,0.585,0.313,0.408
24,100,128,0.1,0.2,rmsprop,softmax,0.084,0.617,0.048,0,0,0,0.539,0.331,0.41
25,50,32,0.2,0.2,rmsprop,softmax,0.149,0.669,0.345,0,0,0,0.638,0.356,0.457
26,100,32,0.2,0.2,rmsprop,softmax,0.452,0.663,0.351,0,0.1,0,0.573,0.487,0.527
27,50,64,0.2,0.2,rmsprop,softmax,0.037,0.587,0,0,0,0,0.575,0.263,0.36
28,100,64,0.2,0.2,rmsprop,softmax,0.455,0.691,0.31,0,0,0,0.534,0.54,0.537
29,50,128,0.2,0.2,rmsprop,softmax,0,0.564,0,0,0,0,0.583,0.24,0.34
30,100,128,0.2,0.2,rmsprop,softmax,0.156,0.421,0.15,0,0,0,0.654,0.177,0.278
31,50,32,0.3,0.2,rmsprop,softmax,0.083,0.608,0.3,0,0,0,0.594,0.295,0.395
32,100,32,0.3,0.2,rmsprop,softmax,0.427,0.641,0.338,0,0,0,0.647,0.394,0.49
