ID,Word Embedding Size,Batch Size,Recurrent Dropout,Dropout,Optimization,Activation,Precision-Problem,Recall-Problem,F-Problem,Precision-Treatment,Recall-Treatment,F-Treatment,Overall Precision,Overall Recall,Overall F-Score
1,50,32,0.1,0.1,rmsprop,relu,0.8,0.82,0.81,0.85,0.81,0.83,0.82,0.82,0.816
2,100,32,0.1,0.1,rmsprop,relu,0.83,0.82,0.83,0.87,0.82,0.84,0.85,0.82,0.832
3,50,64,0.1,0.1,rmsprop,relu,0.81,0.8,0.81,0.85,0.8,0.83,0.83,0.8,0.816
4,100,64,0.1,0.1,rmsprop,relu,0.79,0.82,0.8,0.84,0.83,0.83,0.81,0.82,0.814
5,50,128,0.1,0.1,rmsprop,relu,0.8,0.79,0.79,0.82,0.77,0.79,0.81,0.78,0.794
6,100,128,0.1,0.1,rmsprop,relu,0.82,0.79,0.8,0.83,0.81,0.82,0.83,0.8,0.81
7,50,32,0.2,0.1,rmsprop,relu,0.85,0.8,0.82,0.84,0.81,0.83,0.84,0.8,0.824
8,100,32,0.2,0.1,rmsprop,relu,0.85,0.82,0.84,0.83,0.84,0.83,0.84,0.83,0.835
9,50,64,0.2,0.1,rmsprop,relu,0.82,0.8,0.81,0.84,0.8,0.82,0.83,0.8,0.814
10,100,64,0.2,0.1,rmsprop,relu,0.82,0.83,0.82,0.82,0.83,0.82,0.82,0.83,0.823
11,50,128,0.2,0.1,rmsprop,relu,0.77,0.8,0.78,0.78,0.79,0.79,0.78,0.79,0.785
12,100,128,0.2,0.1,rmsprop,relu,0.78,0.82,0.8,0.79,0.82,0.81,0.79,0.82,0.802
13,50,32,0.3,0.1,rmsprop,relu,0.84,0.81,0.82,0.84,0.81,0.83,0.84,0.81,0.824
14,100,32,0.3,0.1,rmsprop,relu,0.85,0.81,0.83,0.83,0.82,0.83,0.84,0.82,0.83
15,50,64,0.3,0.1,rmsprop,relu,0.81,0.79,0.8,0.82,0.8,0.81,0.81,0.79,0.802
16,100,64,0.3,0.1,rmsprop,relu,0.82,0.81,0.81,0.85,0.8,0.83,0.83,0.81,0.818
17,50,128,0.3,0.1,rmsprop,relu,0.81,0.76,0.79,0.83,0.77,0.8,0.82,0.76,0.79
18,100,128,0.3,0.1,rmsprop,relu,0.77,0.81,0.79,0.8,0.8,0.8,0.78,0.8,0.794
19,50,32,0.1,0.2,rmsprop,relu,0.83,0.82,0.83,0.84,0.83,0.83,0.83,0.82,0.828
20,100,32,0.1,0.2,rmsprop,relu,0.84,0.82,0.83,0.84,0.83,0.84,0.84,0.83,0.834
21,50,64,0.1,0.2,rmsprop,relu,0.74,0.81,0.77,0.85,0.77,0.81,0.78,0.79,0.787
22,100,64,0.1,0.2,rmsprop,relu,0.81,0.82,0.82,0.73,0.85,0.78,0.77,0.83,0.802
23,50,128,0.1,0.2,rmsprop,relu,0.76,0.81,0.78,0.8,0.81,0.8,0.78,0.81,0.79
24,100,128,0.1,0.2,rmsprop,relu,0.81,0.77,0.79,0.82,0.79,0.8,0.81,0.78,0.796
25,50,32,0.2,0.2,rmsprop,relu,0.84,0.8,0.82,0.84,0.81,0.83,0.84,0.81,0.823
26,100,32,0.2,0.2,rmsprop,relu,0.81,0.84,0.83,0.85,0.83,0.84,0.82,0.84,0.831
27,50,64,0.2,0.2,rmsprop,relu,0.82,0.8,0.81,0.83,0.8,0.81,0.82,0.8,0.812
28,100,64,0.2,0.2,rmsprop,relu,0.83,0.8,0.82,0.84,0.8,0.82,0.83,0.8,0.819
29,50,128,0.2,0.2,rmsprop,relu,0.78,0.79,0.79,0.8,0.78,0.79,0.79,0.79,0.787
30,100,128,0.2,0.2,rmsprop,relu,0.79,0.83,0.81,0.81,0.82,0.81,0.8,0.83,0.811
31,50,32,0.3,0.2,rmsprop,relu,0.8,0.82,0.81,0.83,0.81,0.82,0.81,0.82,0.816
32,100,32,0.3,0.2,rmsprop,relu,0.83,0.83,0.83,0.84,0.82,0.83,0.84,0.82,0.831
33,50,64,0.3,0.2,rmsprop,relu,0.81,0.79,0.8,0.8,0.81,0.8,0.8,0.8,0.801
34,100,64,0.3,0.2,rmsprop,relu,0.83,0.81,0.82,0.82,0.81,0.82,0.83,0.81,0.818
35,50,128,0.3,0.2,rmsprop,relu,0.81,0.77,0.79,0.8,0.79,0.79,0.81,0.78,0.792
36,100,128,0.3,0.2,rmsprop,relu,0.79,0.81,0.8,0.84,0.8,0.82,0.81,0.81,0.808
37,50,32,0.1,0.3,rmsprop,relu,0.84,0.81,0.83,0.83,0.8,0.82,0.84,0.81,0.823
38,100,32,0.1,0.3,rmsprop,relu,0.85,0.82,0.83,0.8,0.84,0.82,0.83,0.83,0.829
39,50,64,0.1,0.3,rmsprop,relu,0.82,0.8,0.81,0.83,0.8,0.81,0.82,0.8,0.811
40,100,64,0.1,0.3,rmsprop,relu,0.81,0.83,0.82,0.84,0.83,0.84,0.82,0.83,0.828
41,50,128,0.1,0.3,rmsprop,relu,0.8,0.8,0.8,0.82,0.8,0.81,0.81,0.8,0.806
42,100,128,0.1,0.3,rmsprop,relu,0.8,0.79,0.79,0.77,0.82,0.79,0.79,0.8,0.794
43,50,32,0.2,0.3,rmsprop,relu,0.82,0.8,0.81,0.86,0.77,0.81,0.83,0.79,0.811
44,100,32,0.2,0.3,rmsprop,relu,0.82,0.8,0.81,0.8,0.83,0.81,0.81,0.82,0.814
45,50,64,0.2,0.3,rmsprop,relu,0.82,0.8,0.81,0.82,0.83,0.82,0.82,0.81,0.816
46,100,64,0.2,0.3,rmsprop,relu,0.83,0.81,0.82,0.86,0.77,0.81,0.84,0.79,0.817
47,50,128,0.2,0.3,rmsprop,relu,0.82,0.78,0.8,0.79,0.8,0.79,0.8,0.79,0.795
48,100,128,0.2,0.3,rmsprop,relu,0.82,0.81,0.82,0.78,0.82,0.8,0.8,0.82,0.809
49,50,32,0.3,0.3,rmsprop,relu,0.83,0.81,0.82,0.83,0.82,0.82,0.83,0.81,0.817
50,100,32,0.3,0.3,rmsprop,relu,0.84,0.81,0.83,0.83,0.81,0.82,0.84,0.81,0.822
51,50,64,0.3,0.3,rmsprop,relu,0.75,0.8,0.78,0.77,0.77,0.77,0.76,0.79,0.774
52,100,64,0.3,0.3,rmsprop,relu,0.83,0.82,0.83,0.86,0.79,0.82,0.84,0.81,0.825
53,50,128,0.3,0.3,rmsprop,relu,0.82,0.77,0.79,0.78,0.8,0.79,0.8,0.78,0.792
54,100,128,0.3,0.3,rmsprop,relu,0.78,0.81,0.79,0.82,0.8,0.81,0.79,0.81,0.8
55,50,32,0.1,0.1,adam,relu,0.79,0.79,0.79,0.81,0.81,0.81,0.8,0.8,0.8
56,100,32,0.1,0.1,adam,relu,0.8,0.8,0.8,0.81,0.79,0.8,0.8,0.8,0.801
57,50,64,0.1,0.1,adam,relu,0.79,0.78,0.78,0.76,0.79,0.77,0.77,0.78,0.779
58,100,64,0.1,0.1,adam,relu,0.75,0.79,0.77,0.78,0.76,0.77,0.76,0.77,0.767
59,50,128,0.1,0.1,adam,relu,0,0,0,0.26,0.62,0.37,0.24,0.26,0.246
60,100,128,0.1,0.1,adam,relu,0.66,0.72,0.69,0.56,0.38,0.45,0.63,0.58,0.607
61,50,32,0.2,0.1,adam,relu,0.8,0.81,0.81,0.81,0.8,0.8,0.8,0.81,0.806
62,100,32,0.2,0.1,adam,relu,0.82,0.79,0.81,0.8,0.82,0.81,0.81,0.81,0.811
